crop,baseline,al_only,fixmatch,vs_baseline,vs_al_only
tomato,22.0,24.0,27.33,5.329999999999998,3.3299999999999983
potato,57.78,57.78,60.0,2.219999999999999,2.219999999999999
pepper,74.07,74.07,81.48,7.410000000000011,7.410000000000011
