crop,baseline_acc,strong_aug_acc,delta,helps
tomato,22.388059701492537,17.91044776119403,-4.477611940298509,False
potato,51.11111111111111,55.55555555555556,4.44444444444445,True
pepper,48.148148148148145,55.55555555555556,7.407407407407412,True
